ReportingArea,MMWRYear,MMWRQuarter,TuberculosisCurrentQuarter,"Tuberculosis†, Current quarter, flag","Tuberculosis†, Previous 4 quarters Min","Tuberculosis†, Previous 4 quarters Min, flag","Tuberculosis†, Previous 4 quarters Max","Tuberculosis†, Previous 4 quarters Max, flag","Tuberculosis†, Cum 2019","Tuberculosis†, Cum 2019, flag","Tuberculosis†, Cum 2018","Tuberculosis†, Cum 2018, flag",Location 1,Location 2,New Georeferenced Column
NORTH DAKOTA,2019,3,1,,1,,6,,11,,10,,NORTH DAKOTA,,POINT (-100.46931 47.446305)
SOUTH DAKOTA,2019,3,5,,3,,5,,12,,8,,SOUTH DAKOTA,,POINT (-100.230491 44.43614)
SOUTH ATLANTIC,2019,3,279,,272,,503,,947,,1111,,,SOUTH ATLANTIC,
DELAWARE,2019,3,7,,1,,7,,15,,19,,DELAWARE,,POINT (-75.452394 38.994926)
DISTRICT OF COLUMBIA,2019,3,2,,2,,7,,14,,29,,DISTRICT OF COLUMBIA,,POINT (-77.016275 38.904785)
FLORIDA,2019,3,79,,79,,148,,369,,447,,FLORIDA,,POINT (-82.420978 28.260731)
GEORGIA,2019,3,70,,51,,78,,192,,183,,GEORGIA,,POINT (-83.426574 32.638481)
MARYLAND,2019,3,37,,30,,68,,123,,142,,MARYLAND,,POINT (-76.687282 38.946466)
NORTH CAROLINA,2019,3,31,,12,,71,,86,,125,,NORTH CAROLINA,,POINT (-79.130883 35.52603)
SOUTH CAROLINA,2019,3,10,,10,,40,,42,,46,,SOUTH CAROLINA,,POINT (-80.864614 33.878572)
VIRGINIA,2019,3,41,,15,,88,,101,,117,,VIRGINIA,,POINT (-78.666382 37.510861)
WEST VIRGINIA,2019,3,2,,1,,3,,5,,3,,WEST VIRGINIA,,POINT (-80.613729 38.642579)
EAST SOUTH CENTRAL,2019,3,88,,69,,91,,248,,301,,,EAST SOUTH CENTRAL,
ALABAMA,2019,3,30,,15,,30,,63,,76,,ALABAMA,,POINT (-86.844516 32.756889)
KENTUCKY,2019,3,17,,14,,21,,52,,48,,KENTUCKY,,POINT (-85.290484 37.526683)
MISSISSIPPI,2019,3,8,,8,,25,,48,,64,,MISSISSIPPI,,POINT (-89.65344 32.713378)
TENNESSEE,2019,3,33,,25,,33,,85,,113,,TENNESSEE,,POINT (-86.343226 35.842998)
WEST SOUTH CENTRAL,2019,3,136,,136,,364,,619,,1016,,,WEST SOUTH CENTRAL,
ARKANSAS,2019,3,12,,12,,26,,54,,55,,ARKANSAS,,POINT (-92.439162 34.899825)
