ReportingArea,MMWRYear,MMWRQuarter,TuberculosisCurrentQuarter,"Tuberculosis*, Current quarter, flag","Tuberculosis*, Previous 4 quarters Min","Tuberculosis*, Previous 4 quarters Min, flag","Tuberculosis*, Previous 4 quarters Max","Tuberculosis*, Previous 4 quarters Max, flag","Tuberculosis*, Cum 2014","Tuberculosis*, Cum 2014, flag","Tuberculosis*, Cum 2013","Tuberculosis*, Cum 2013, flag",Location 1 (state),Location 1,Location 2
PUERTO RICO,2014,4,13,,7,,13,,43,,47,,PUERTO RICO,POINT (-66.49988980099994 18.24828934900006),
IOWA,2014,4,12,,11,,12,,45,,45,,IOWA,POINT (-93.81648725599996 42.469401411000035),
GUAM,2014,4,9,,2,,19,,47,,48,,GUAM,POINT (144.73149801400007 13.480998894000038),
CONNECTICUT,2014,4,2,,2,,22,,49,,61,,CONNECTICUT,POINT (-72.64983977999998 41.56266070000004),
MAINE,2014,4,3,,2,,5,,15,,14,,MAINE,POINT (-68.98502586699993 45.25422910300006),
VIRGINIA,2014,4,31,,29,,64,,175,,179,,VIRGINIA,POINT (-78.45788932099998 37.542680705000066),
NEW YORK CITY,2014,4,125,,125,,175,,584,,644,,NEW YORK CITY,POINT (-74.00596858999995 40.71426755700003),
KENTUCKY,2014,4,7,,7,,24,,60,,76,,KENTUCKY,POINT (-84.77496771599994 37.64597313300004),
RHODE ISLAND,2014,4,8,,1,,8,,20,,27,,RHODE ISLAND,POINT (-71.52246566099996 41.70828106100004),
MINNESOTA,2014,4,54,,28,,54,,147,,140,,MINNESOTA,POINT (-94.79419983199995 46.35564896600005),
OKLAHOMA,2014,4,14,,7,,19,,58,,68,,OKLAHOMA,POINT (-97.52106835299998 35.472030747000076),
NEW MEXICO,2014,4,5,,5,,13,,42,,50,,NEW MEXICO,POINT (-106.24057817299996 34.52088149400004),
NEBRASKA,2014,4,5,,5,,9,,26,,21,,NEBRASKA,POINT (-99.36571888999998 41.64104362100005),
DELAWARE,2014,4,2,,2,,8,,21,,19,,DELAWARE,POINT (-75.57773597599999 39.00883389200004),
ALASKA,2014,4,6,,6,,21,,45,,71,,ALASKA,POINT (-147.72205958799998 64.84507799500005),
KANSAS,2014,4,,-,0,,0,,,-,38,,KANSAS,POINT (-98.20077822999997 38.347742794000055),
