ReportingArea,MMWR Year,MMWR Week,"Tuberculosis, Current week","Tuberculosis, Current week, flag","Tuberculosis, Previous 52 weeks Max†","Tuberculosis, Previous 52 weeks Max†, flag","Tuberculosis, Cum 2020†","Tuberculosis, Cum 2020†, flag","Tuberculosis, Cum 2019†","Tuberculosis, Cum 2019†, flag","Tularemia, Current week","Tularemia, Current week, flag","Tularemia, Previous 52 weeks Max†","Tularemia, Previous 52 weeks Max†, flag","Tularemia, Cum 2020†","Tularemia, Cum 2020†, flag","Tularemia, Cum 2019†","Tularemia, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
TOTAL,2020,3,,U,,NC,,U,,U,,-,22,,,-,2,,,TOTAL,20200370,
NEW HAMPSHIRE,2020,3,,U,,NC,,U,,U,,-,1,,,-,,-,NEW HAMPSHIRE,,20200306,POINT (-71.57139 43.680429)
NEW YORK,2020,3,,U,,NC,,U,,U,,-,1,,,-,,-,NEW YORK,,20200311,POINT (-75.59655 42.921241)
WEST SOUTH CENTRAL,2020,3,,U,,NC,,U,,U,,-,12,,,-,,-,,WEST SOUTH CENTRAL,20200343,
NEBRASKA,2020,3,,U,,NC,,U,,U,,-,3,,,-,1,,NEBRASKA,,20200325,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,3,,U,,NC,,U,,U,,-,3,,,-,,-,,EAST SOUTH CENTRAL,20200338,
NORTH DAKOTA,2020,3,,U,,NC,,U,,U,,-,2,,,-,,-,NORTH DAKOTA,,20200326,POINT (-100.46931 47.446305)
NEVADA,2020,3,,U,,NC,,U,,U,,-,0,,,-,,-,NEVADA,,20200353,POINT (-114.916992 39.283294)
ILLINOIS,2020,3,,U,,NC,,U,,U,,-,0,,,-,,-,ILLINOIS,,20200315,POINT (-89.148632 40.124144)
IOWA,2020,3,,U,,NC,,U,,U,,-,1,,,-,,-,IOWA,,20200321,POINT (-93.500061 42.074659)
TEXAS,2020,3,,U,,NC,,U,,U,,-,0,,,-,,-,TEXAS,,20200347,POINT (-99.317341 31.447238)
ALASKA,2020,3,,U,,NC,,U,,U,,-,0,,,-,,-,ALASKA,,20200358,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,3,,U,,NC,,U,,U,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20200330,POINT (-77.016275 38.904785)
WASHINGTON,2020,3,,U,,NC,,U,,U,,-,1,,,-,,-,WASHINGTON,,20200362,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,3,,U,,NC,,U,,U,,-,2,,,-,,-,,NEW ENGLAND,20200302,
RHODE ISLAND,2020,3,,U,,NC,,U,,U,,-,0,,,-,,-,RHODE ISLAND,,20200307,POINT (-71.534637 41.572574)
OREGON,2020,3,,U,,NC,,U,,U,,-,1,,,-,,-,OREGON,,20200361,POINT (-120.605279 43.940449)
DELAWARE,2020,3,,U,,NC,,U,,U,,-,0,,,-,,-,DELAWARE,,20200329,POINT (-75.452394 38.994926)
ALABAMA,2020,3,,U,,NC,,U,,U,,-,1,,,-,,-,ALABAMA,,20200339,POINT (-86.844516 32.756889)
KANSAS,2020,3,,U,,NC,,U,,U,,-,1,,,-,,-,KANSAS,,20200322,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,3,,U,,NC,,U,,U,,-,1,,,-,,-,NORTH CAROLINA,,20200334,POINT (-79.130883 35.52603)
GUAM,2020,3,,U,,NC,,U,,U,,-,0,,,-,,-,GUAM,,20200366,POINT (144.653198 13.3532)
NEW JERSEY,2020,3,,U,,NC,,U,,U,,-,1,,,-,,-,NEW JERSEY,,20200310,POINT (-74.655514 40.110253)
NEW MEXICO,2020,3,,U,,NC,,U,,U,,-,1,,,-,,-,NEW MEXICO,,20200354,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,3,,U,,NC,,U,,U,,-,1,,,-,,-,,EAST NORTH CENTRAL,20200314,
TENNESSEE,2020,3,,U,,NC,,U,,U,,-,2,,,-,,-,TENNESSEE,,20200342,POINT (-86.343226 35.842998)
CONNECTICUT,2020,3,,U,,NC,,U,,U,,-,0,,,-,,-,CONNECTICUT,,20200303,POINT (-72.738288 41.575155)
MARYLAND,2020,3,,U,,NC,,U,,U,,-,1,,,-,,-,MARYLAND,,20200333,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,3,,U,,NC,,U,,U,,-,0,,,-,,-,SOUTH CAROLINA,,20200335,POINT (-80.864614 33.878572)
OKLAHOMA,2020,3,,U,,NC,,U,,U,,-,5,,,-,,-,OKLAHOMA,,20200346,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,3,,U,,NC,,U,,U,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200365,POINT (145.725693 15.1834)
OHIO,2020,3,,U,,NC,,U,,U,,-,0,,,-,,-,OHIO,,20200318,POINT (-82.70936 40.415534)
MINNESOTA,2020,3,,U,,NC,,U,,U,,-,0,,,-,,-,MINNESOTA,,20200323,POINT (-94.198308 46.349153)
LOUISIANA,2020,3,,U,,NC,,U,,U,,-,0,,,-,,-,LOUISIANA,,20200345,POINT (-91.840238 30.921314)
HAWAII,2020,3,,U,,NC,,U,,U,,-,0,,,-,,-,HAWAII,,20200360,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,3,,U,,NC,,U,,U,,-,1,,,-,,-,,SOUTH ATLANTIC,20200328,
