ReportingArea,MMWRYear,MMWRWeek,TuberculosisCurrentWeek,"Tuberculosis, Current week, flag","Tuberculosis, Previous 52 weeks Max†","Tuberculosis, Previous 52 weeks Max†, flag",TuberculosisCum2021,"Tuberculosis, Cum 2021†, flag","Tuberculosis, Cum 2020†","Tuberculosis, Cum 2020†, flag","Tularemia, Current week","Tularemia, Current week, flag","Tularemia, Previous 52 weeks Max†","Tularemia, Previous 52 weeks Max†, flag","Tularemia, Cum 2021†","Tularemia, Cum 2021†, flag","Tularemia, Cum 2020†","Tularemia, Cum 2020†, flag",Location 1,Location 2,Reporting Area Sort,geocode
US RESIDENTS,2021,39,59,,336,,4463,,5117,,,-,11,,78,,107,,,US RESIDENTS,20213901,
NEW HAMPSHIRE,2021,39,,-,3,,7,,7,,,-,1,,,-,,-,NEW HAMPSHIRE,,20213906,POINT (-71.57139 43.680429)
NEW YORK,2021,39,2,,12,,102,,116,,,-,0,,,-,1,,NEW YORK,,20213911,POINT (-75.59655 42.921241)
PACIFIC,2021,39,4,,68,,1223,,1523,,,-,4,,2,,6,,,PACIFIC,20213957,
WEST SOUTH CENTRAL,2021,39,4,,32,,721,,805,,,-,1,,2,,19,,,WEST SOUTH CENTRAL,20213943,
NEBRASKA,2021,39,,-,2,,2,,28,,,-,1,,6,,5,,NEBRASKA,,20213925,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2021,39,10,,15,,204,,215,,,-,2,,8,,6,,,EAST SOUTH CENTRAL,20213938,
EAST SOUTH CENTRAL,2021,50,4,,15,,267,,286,,,-,2,,12,,9,,,EAST SOUTH CENTRAL,20215038,
NORTH DAKOTA,2021,50,,-,1,,9,,10,,,-,1,,3,,8,,NORTH DAKOTA,,20215026,POINT (-100.46931 47.446305)
NEVADA,2021,50,,-,5,,57,,55,,,-,0,,,-,,-,NEVADA,,20215053,POINT (-114.916992 39.283294)
TOTAL,2021,29,57,,341,,3084,,3930,,,-,5,,35,,50,,,TOTAL,20212970,
NEW HAMPSHIRE,2021,33,,-,3,,7,,7,,,-,1,,,-,,-,NEW HAMPSHIRE,,20213306,POINT (-71.57139 43.680429)
NEW YORK,2021,33,1,,12,,84,,98,,,-,1,,,-,,-,NEW YORK,,20213311,POINT (-75.59655 42.921241)
WEST SOUTH CENTRAL,2021,33,1,,32,,598,,686,,,-,1,,2,,17,,,WEST SOUTH CENTRAL,20213343,
NEBRASKA,2021,33,,-,2,,2,,25,,1,,1,,5,,5,,NEBRASKA,,20213325,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2021,33,3,,13,,139,,181,,,-,2,,8,,2,,,EAST SOUTH CENTRAL,20213338,
NORTH DAKOTA,2021,33,1,,1,,7,,9,,,-,1,,1,,8,,NORTH DAKOTA,,20213326,POINT (-100.46931 47.446305)
NEVADA,2021,33,,-,4,,39,,37,,,-,0,,,-,,-,NEVADA,,20213353,POINT (-114.916992 39.283294)
ILLINOIS,2021,33,,-,35,,133,,122,,,-,1,,,-,2,,ILLINOIS,,20213315,POINT (-89.148632 40.124144)
IOWA,2021,33,,-,3,,21,,29,,,-,1,,2,,1,,IOWA,,20213321,POINT (-93.500061 42.074659)
TEXAS,2021,33,,-,26,,506,,547,,,-,1,,1,,,-,TEXAS,,20213347,POINT (-99.317341 31.447238)
ALASKA,2021,33,,-,4,,32,,40,,,-,0,,,-,,-,ALASKA,,20213358,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2021,33,1,,2,,9,,13,,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20213330,POINT (-77.016275 38.904785)
